log,variant,discovery_time,fitness_time,precision_time,generalization_time,simplicity_time,perc_fit_traces,average_trace_fitness,log_fitness,precision,generalization,simplicity
recurring_trace_noise0_100_cb,IM,0.0103070735931396,0.0241601467132568,0.0799357891082763,0.0216856002807617,0.000101089477539,100.0,1.0,1.0,0.6935208866155158,0.8550229661699407,0.6923076923076922
recurring_trace_noise0_100_cb,IMf,0.0269019603729248,0.0213119983673095,0.071592092514038,0.021104097366333,7.295608520507812e-05,91.0,0.9939074074074072,0.99438202247191,0.8684064408661855,0.8644407811451045,0.7142857142857143
recurring_trace_noise0_100_cb,IMd,0.0053844451904296,0.0249774456024169,0.0653448104858398,0.0246798992156982,7.557868957519531e-05,0.0,0.900423452507403,0.9077077540932964,0.3580152671755725,0.7527953649299594,0.6507936507936508
recurring_trace_noise0_100_cb,HM,0.0048413276672363,0.0240099430084228,0.0752019882202148,0.0216305255889892,9.083747863769533e-05,100.0,1.0,1.0,0.8924849149753155,0.8227371967600252,0.7599999999999999
recurring_trace_noise0_100_cb,AM,0.0061144828796386,0.0633420944213867,0.0409839153289794,0.0572052001953125,0.0002391338348388,0.0,0.9420458900323572,0.9379895561357704,1.0,0.8608719794409345,0.7000000000000001
recurring_trace_noise0_100_cd,IM,0.0084648132324218,0.0227141380310058,0.0712151527404785,0.0228476524353027,7.510185241699219e-05,100.0,1.0,1.0,0.9875959834613112,0.8671140578748674,0.8
recurring_trace_noise0_100_cd,IMf,0.0194408893585205,0.0240826606750488,0.0814013481140136,0.0232453346252441,7.224082946777344e-05,100.0,1.0,1.0,0.9875959834613112,0.8671140578748674,0.8
recurring_trace_noise0_100_cd,IMd,0.0043582916259765,0.0279767513275146,0.0685362815856933,0.0272889137268066,7.343292236328125e-05,0.0,0.9026068850189416,0.910142484165174,0.3562810503903477,0.7577806278594382,0.6666666666666666
recurring_trace_noise0_100_cd,HM,0.0042555332183837,0.0233681201934814,0.0721893310546875,0.021702766418457,6.866455078125e-05,100.0,1.0,1.0,0.9875959834613112,0.8671140578748674,0.8
recurring_trace_noise0_100_cd,AM,0.0036799907684326,0.0651421546936035,0.0455052852630615,0.0658507347106933,0.0001924037933349,0.0,0.9411920669137608,0.9370695053224796,1.0,0.8627292655915164,0.7435897435897437
recurring_trace_noise0_100_cf,IM,0.0087418556213378,0.0221996307373046,0.0696532726287841,0.0215675830841064,7.677078247070312e-05,100.0,1.0,1.0,0.9360230547550432,0.8570239410028244,0.7777777777777779
recurring_trace_noise0_100_cf,IMf,0.0208468437194824,0.0217576026916503,0.066523790359497,0.0209310054779052,7.200241088867188e-05,100.0,1.0,1.0,0.9360230547550432,0.8570239410028244,0.7777777777777779
recurring_trace_noise0_100_cf,IMd,0.0044591426849365,0.0253140926361084,0.0585834980010986,0.0247027873992919,7.557868957519531e-05,0.0,0.9071540272213686,0.9128591550845686,0.3574173712528824,0.7647845614757744,0.6774193548387096
recurring_trace_noise0_100_cf,HM,0.0039169788360595,0.019028902053833,0.0731844902038574,0.0210654735565185,7.700920104980469e-05,51.0,0.9815827498038028,0.97819287424208,0.981320880587058,0.870012983002167,0.7674418604651162
recurring_trace_noise0_100_cf,AM,0.0038764476776123,0.0600209236145019,0.0397474765777587,0.0616450309753418,0.0001931190490722,0.0,0.9163224380016542,0.9114241987605208,1.0,0.8660147140691227,0.7272727272727273
recurring_trace_noise0_100_cp,IM,0.0113985538482666,0.0267252922058105,0.0961198806762695,0.0267317295074462,8.273124694824219e-05,100.0,1.0,1.0,0.3499374739474781,0.8606354047268543,0.6507936507936508
recurring_trace_noise0_100_cp,IMf,0.0481677055358886,0.0247855186462402,0.086639404296875,0.0242047309875488,7.414817810058594e-05,100.0,1.0,1.0,0.3810712664548343,0.861129857173765,0.6666666666666666
recurring_trace_noise0_100_cp,IMd,0.0091552734375,0.0313761234283447,0.0612702369689941,0.0321016311645507,8.0108642578125e-05,0.0,0.8926892472241212,0.8993367536216148,0.1557680444170265,0.6951177730897095,0.6615384615384615
recurring_trace_noise0_100_cp,HM,0.0047497749328613,0.0237257480621337,0.0728967189788818,0.0229699611663818,8.821487426757812e-05,90.0,0.9977142515379356,0.9968374446552816,0.85146982980918,0.8174193180624518,0.7358490566037735
recurring_trace_noise0_100_cp,AM,0.0052597522735595,0.0517966747283935,0.0360314846038818,0.051565408706665,0.0001795291900634,0.0,0.8746108567111683,0.8808186465940476,1.0,0.8617444741128267,0.56
recurring_trace_noise0_100_IOR,IM,0.0108850002288818,0.021364688873291,0.0535817146301269,0.020756721496582,7.843971252441406e-05,100.0,1.0,1.0,0.8952112676056339,0.8489680715343628,0.7272727272727273
recurring_trace_noise0_100_IOR,IMf,0.075648546218872,0.0212593078613281,0.0512690544128418,0.0201189517974853,7.009506225585938e-05,90.0,0.9902175324675324,0.9925373134328358,0.9517460317460318,0.8581456180649851,0.7560975609756097
recurring_trace_noise0_100_IOR,IMd,0.0047366619110107,0.025742769241333,0.0927727222442627,0.0267653465270996,7.772445678710938e-05,0.0,0.9305654761904768,0.93734335839599,0.453796889295517,0.7840527259622219,0.6393442622950819
recurring_trace_noise0_100_IOR,HM,0.0050098896026611,0.026620864868164,0.0527524948120117,0.0192909240722656,7.176399230957031e-05,79.0,0.9906684339052764,0.9922850844966936,0.9906790945406124,0.8581456180649851,0.7619047619047619
recurring_trace_noise0_100_IOR,AM,0.0037052631378173,0.0528082847595214,0.0283005237579345,0.0526206493377685,0.0001900196075439,0.0,0.8978697954156385,0.9010373175784976,1.0,0.8584752101046467,0.7209302325581395
recurring_trace_noise0_100_IRO,IM,0.0150995254516601,0.0303370952606201,0.1692004203796386,0.0308239459991455,8.940696716308594e-05,100.0,1.0,1.0,0.679746333729687,0.85360471201915,0.7058823529411765
recurring_trace_noise0_100_IRO,IMf,0.0340967178344726,0.0311598777770996,0.1718406677246093,0.0319905281066894,8.821487426757812e-05,100.0,1.0,1.0,0.6717587152369762,0.85360471201915,0.7058823529411765
recurring_trace_noise0_100_IRO,IMd,0.0082190036773681,0.0322747230529785,0.0973365306854248,0.0321245193481445,8.702278137207031e-05,0.0,0.8967427691574709,0.9071391703365684,0.3551532033426183,0.7082163068761587,0.6901408450704225
